stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_city
5157,ROMHOE,"Hôpital",,  49.523930,   0.363941,,,0,ROMHOP,Saint-Romain-de-Colbosc
5068,ROMHOP,"Hôpital",,  49.523897,   0.362729,,,0,ROMHOP,Saint-Romain-de-Colbosc
5070,ROMTEM,"Le Temple",,  49.527757,   0.359835,,,0,ROMTEM,Saint-Romain-de-Colbosc
5113,ROMTEN,"Le Temple",,  49.527989,   0.359667,,,0,ROMTEM,Saint-Romain-de-Colbosc
3593,ROUELN,"Rouelles",,  49.521609,   0.160615,,,0,ROUELE,Le Havre
3595,ROUELS,"Rouelles",,  49.521666,   0.160473,,,0,ROUELE,Le Havre
3568,RPOINE,"R. Poincaré",,  49.505618,   0.102132,,,0,RPOINC,Le Havre
3567,RPOINO,"R. Poincaré",,  49.505676,   0.102026,,,0,RPOINC,Le Havre
3989,RPQ1,"Rond-Point",,  49.499290,   0.129529,,,0,RPOINT,Le Havre
3990,RPQ2,"Rond-Point",,  49.499253,   0.129448,,,0,RPOINT,Le Havre
3627,RSALEN,"R. Salengro",,  49.505813,   0.114490,,,0,SALENG,Le Havre
3628,RSALES,"R. Salengro",,  49.505943,   0.114243,,,0,SALENG,Le Havre
4298,RSHUME,"Schuman",,  49.513117,   0.164335,,,0,LSCHUM,Le Havre
4487,RSHUMO,"Schuman",,  49.513135,   0.164057,,,0,LSCHUM,Le Havre
5168,RTCHAN,"Route du Château",,  49.523751,   0.260727,,,0,RTCHAT,Gainneville
5167,RTCHAS,"Route du Château",,  49.523716,   0.260683,,,0,RTCHAT,Gainneville
5049,SAICEN,"Centre",,  49.557070,   0.287209,,,0,SAICEN,Sainneville-sur-Seine
5098,SAINCE,"Centre",,  49.557028,   0.287264,,,0,SAICEN,Sainneville-sur-Seine
3606,SANDRE,"St André",,  49.515502,   0.077823,,,0,SANDRE,Sainte-Adresse
3728,SANEGE,"Sanvic Église",,  49.505658,   0.100650,,,0,ESNVIC,Le Havre
3231,SANEGN,"Sanvic Église",,  49.506442,   0.100134,,,0,ESNVIC,Le Havre
3729,SANEGO,"Sanvic Église",,  49.505617,   0.099051,,,0,ESNVIC,Le Havre
3232,SANEGS,"Sanvic Église",,  49.506371,   0.100199,,,0,ESNVIC,Le Havre
3630,SAPINN,"Sapins",,  49.514829,   0.070080,,,0,SAPINS,Sainte-Adresse
3629,SAPINS,"Sapins",,  49.514653,   0.070257,,,0,SAPINS,Sainte-Adresse
5144,SBEBOS,"Le Bourg",,  49.602633,   0.212501,,,0,BECBOU,Saint-Martin-du-Bec
5131,SBERIE,"Route des Indes",,  49.605309,   0.220088,,,0,RINDES,Saint-Martin-du-Bec
5143,SBERIS,"Route des Indes",,  49.605399,   0.219601,,,0,RINDES,Saint-Martin-du-Bec
3632,SBERNE,"S. Bernhardt",,  49.512024,   0.122773,,,0,SBERNH,Le Havre
3631,SBERNO,"S. Bernhardt",,  49.511738,   0.121896,,,0,SBERNH,Le Havre
3605,SCARNE,"S. Carnot",,  49.504656,   0.111385,,,0,SCARNO,Le Havre
3604,SCARNO,"S. Carnot",,  49.504517,   0.110652,,,0,SCARNO,Le Havre
3622,SCATHE,"Ste Catherine",,  49.524968,   0.121873,,,0,STECAT,Le Havre
3621,SCATHO,"Ste Catherine",,  49.524987,   0.121559,,,0,STECAT,Le Havre
3623,SCECIN,"Ste Cécile",,  49.505881,   0.143343,,,0,STECEC,Le Havre
3624,SCECIS,"Ste Cécile",,  49.505780,   0.143091,,,0,STECEC,Le Havre
3991,SCQ1,"Sacré Coeur",,  49.515503,   0.121335,,,0,SCOEUR,Le Havre
3992,SCQ2,"Sacré Coeur",,  49.515484,   0.121267,,,0,SCOEUR,Le Havre
3607,SDENIN,"St Denis",,  49.506024,   0.084628,,,0,SDENIS,Sainte-Adresse
3608,SDENIS,"St Denis",,  49.505583,   0.084978,,,0,SDENIS,Sainte-Adresse
3295,SDIGNE,"St Dignefort",,  49.503516,   0.213337,,,0,DGFORT,Gonfreville l'Orcher
3296,SDIGNO,"St Dignefort",,  49.503540,   0.213634,,,0,DGFORT,Gonfreville l'Orcher
3870,SERURE,"G. Serrurier",,  49.526467,   0.109556,,,0,GSERR,Le Havre
3869,SERURO,"G. Serrurier",,  49.526483,   0.109542,,,0,GSERR,Le Havre
4464,SFRANE,"St Francois",,  49.487652,   0.112309,,,0,STFRAN,Le Havre
4465,SFRANO,"St Francois",,  49.487698,   0.112384,,,0,STFRAN,Le Havre
3012,SHONOE,"Ste Honorine",,  49.504645,   0.165080,,,0,SHONOR,Le Havre
3993,SHQ1,"Schuman",,  49.514007,   0.164071,,,0,LSCHUM,Le Havre
3994,SHQ2,"Schuman",,  49.513822,   0.163775,,,0,LSCHUM,Le Havre
3821,SIDELN,"Sidel",,  49.542012,   0.108530,,,0,SIDEL,Octeville-sur-Mer
3822,SIDELS,"Sidel",,  49.542035,   0.108439,,,0,SIDEL,Octeville-sur-Mer
4593,SJOSEN,"St Joseph",,  49.491277,   0.099885,,,0,STJOS,Le Havre
3732,SJOSES,"St Joseph",,  49.490398,   0.100475,,,0,STJOS,Le Havre
3612,SJUSTE,"St Just",,  49.519713,   0.092334,,,0,STJUST,Le Havre
3611,SJUSTO,"St Just",,  49.519767,   0.092120,,,0,STJUST,Le Havre
3625,SMARIE,"Ste Marie",,  49.504344,   0.134634,,,0,STEMAR,Le Havre
3626,SMARIO,"Ste Marie",,  49.504410,   0.135611,,,0,STEMAR,Le Havre
3782,SNICOE,"St Nicolas",,  49.485169,   0.135555,,,0,STNICO,Le Havre
3637,SOCRAN,"Socrate",,  49.516271,   0.155706,,,0,SOCRAT,Le Havre
3638,SOCRAS,"Socrate",,  49.515466,   0.154606,,,0,SOCRAT,Le Havre
4792,SOQUEE,"Soquence",,  49.500894,   0.180422,,,0,SOQUEN,Le Havre
3639,SOQUEO,"Soquence",,  49.500944,   0.180121,,,0,SOQUEN,Le Havre
3074,SPORTN,"Rue des Sports",,  49.520733,   0.129728,,,0,SPORTS,Le Havre
3075,SPORTS,"Rue des Sports",,  49.520892,   0.129505,,,0,SPORTS,Le Havre
3995,SPQ1,"St Pierre",,  49.511960,   0.174687,,,0,STPIER,Le Havre
3996,SPQ2,"St Pierre",,  49.512167,   0.174706,,,0,STPIER,Le Havre
3646,SPREFE,"Sous-Préfecture",,  49.493842,   0.112295,,,0,SPREF,Le Havre
3645,SPREFO,"Sous-Préfecture",,  49.493960,   0.111275,,,0,SPREF,Le Havre
3997,SRQ1,"St Roch",,  49.493453,   0.101432,,,0,STROCH,Le Havre
3998,SRQ2,"St Roch",,  49.493478,   0.101307,,,0,STROCH,Le Havre
3619,SSAUVE,"St Sauveur",,  49.503324,   0.207600,,,0,STSAUV,Gonfreville l'Orcher
3620,SSAUVO,"St Sauveur",,  49.503429,   0.206795,,,0,STSAUV,Gonfreville l'Orcher
4984,STADOE,"Stade Océane",,  49.499998,   0.171104,,,0,STAOCE,Le Havre
4983,STADOO,"Stade Océane",,  49.500272,   0.171147,,,0,STAOCE,Le Havre
4872,STDOCE,"Stade Océane",,  49.500570,   0.169719,,,0,STAOCE,Le Havre
4873,STDOCO,"Stade Océane",,  49.500610,   0.169648,,,0,STAOCE,Le Havre
3214,STENDE,"Stendhal",,  49.521102,   0.077054,,,0,STENDH,Le Havre
3704,STENDO,"Stendhal",,  49.521140,   0.076880,,,0,STENDH,Le Havre
4510,STEXUE,"St Exupéry",,  49.549381,   0.178219,,,0,SEXUPE,Montivilliers
4511,STEXUO,"St Exupéry",,  49.549429,   0.178268,,,0,SEXUPE,Montivilliers
4039,STHUBN,"St Hubert",,  49.562705,   0.218566,,,0,STHUBE,Epouville
4040,STHUBS,"St Hubert",,  49.562133,   0.218179,,,0,STHUBE,Epouville
4833,STLAUE,"St Laurent",,  49.522746,   0.220043,,,0,STLAUR,Gonfreville l'Orcher
4528,STMANO,"Les Hauts",,  49.534330,   0.234451,,,0,HAUMAR,Saint-Martin-du-Manoir
3783,STNICO,"St Nicolas",,  49.485136,   0.135338,,,0,STNICO,Le Havre
4364,STPIEN,"St Pierre",,  49.512124,   0.172334,,,0,STPIER,Le Havre
4365,STPIES,"St Pierre",,  49.511982,   0.172395,,,0,STPIER,Le Havre
3651,SURCON,"Surcouf",,  49.516614,   0.069256,,,0,SURCOU,Sainte-Adresse
3652,SURCOS,"Surcouf",,  49.517100,   0.069286,,,0,SURCOU,Sainte-Adresse
3254,SVINCE,"St Vincent",,  49.495583,   0.097548,,,0,SVINCE,Le Havre
4065,TERREN,"Le Terreux",,  49.605447,   0.149038,,,0,TERREU,Cauville sur Mer
4066,TERRES,"Le Terreux",,  49.605783,   0.149299,,,0,TERREU,Cauville sur Mer
3654,TGAUTN,"T. Gautier",,  49.515484,   0.091623,,,0,TGAUTI,Le Havre
3655,TGAUTS,"T. Gautier",,  49.514754,   0.091103,,,0,TGAUTI,Le Havre
4520,THIERN,"Pl. Thiers",,  49.497071,   0.110114,,,0,THIERS,Le Havre
3657,THIERS,"Pl. Thiers",,  49.496394,   0.110007,,,0,THIERS,Le Havre
